Authoritariansm,SDO,CRT,Conspiracy,Paranoia,LOC_1,LOC2,LOC3,TIS,Alt,Agreeableness,Conscientiousness,Neuroticism,Openness,Extraversion,Ireland$MigrantAttitudes1,Ireland$MigrantAttitudes2,Ireland$C19_Infected_Binary,Ireland$C19_SomeoneClose_Infected_Binary,Ireland$Vax_Self_Binary,Ireland$�..Sex,Ireland$Occupation_Binary,Ireland$Education_Binary,Trust_Scientist,Trust_Doctor
1.145987821,0.839984412,0.868779879,-0.015587912,1.213966493,2.509036668,2.027945377,0.644006344,-1.109642068,0.331922491,4,8,8,7,4,10,8,0,0,1,1,1,1,4,2
1.498303209,-0.650419085,0.121682753,-0.226209523,0.26306857,-1.260165291,-0.395947164,0.345935654,1.81498538,0.386632221,6,8,8,6,6,6,8,0,0,0,0,1,1,4,4
-1.914272001,-1.221262124,0.252470802,-2.621464748,0.659665147,1.005880772,0.457249602,-0.057535876,0.380697114,-0.556187705,8,10,3,10,10,9,9,0,0,1,0,1,1,4,4
-0.385813018,0.116415103,-0.643021258,0.114021923,0.053219018,0.31931229,0.571422373,0.113032277,-1.413760415,0.098367635,7,6,6,6,5,3,3,0,0,1,1,1,1,2,4
-0.70912182,-0.825652035,1.503089667,-3.022962077,-1.526192182,-0.540229971,0.182949117,-1.4104585,1.490118158,-0.123160092,8,6,5,4,7,10,10,0,0,1,0,1,1,5,5
-0.254778723,0.662041293,0.868779879,-0.096669542,0.416238106,-0.837335839,-0.456252273,-0.624430391,0.264590199,0.34585192,8,8,7,4,4,5,5,0,0,1,0,0,1,3,4
-0.04821197,2.127288389,-0.643021258,1.189858684,0.704641723,0.747921354,-0.146486723,0.113032277,-1.762481228,0.163245866,7,8,8,10,9,1,1,0,0,1,0,1,1,4,4
-0.998957519,0.571311318,-0.643021258,0.084027544,-0.599443275,-0.696670637,-1.567582422,-0.112586766,-1.401674736,0.322764416,9,10,6,5,4,3,6,0,0,0,1,0,1,4,5
-1.714885509,-1.365758967,0.868779879,-0.020947137,0.405691008,0.31931229,0.983782319,1.491892592,-2.021279556,0.760625331,4,7,7,10,3,8,10,0,0,1,1,1,1,4,3
1.107083231,0.512146654,-0.643021258,1.22983914,-0.329656582,0.664238512,-0.090360037,0.085085482,-1.413760415,-0.336953429,9,7,5,7,8,4,3,0,0,1,0,1,0,4,4
1.748289179,-0.536442005,0.975433204,0.134951598,-0.433340681,-1.164880335,-1.567582422,0.057211654,0.773045898,1.483474971,9,10,2,6,9,4,6,0,0,1,1,1,0,4,5
-0.154558766,0.61097293,0.121682753,2.301845529,0.709219581,0.897076073,-0.278215982,0.436573876,-1.413760415,-1.037298907,5,7,8,7,5,2,1,0,0,0,0,1,1,3,3
-0.790256871,-0.614588792,0.698896189,1.152146654,0.281932983,-0.201919157,-0.474741042,0.115278464,-1.008282275,1.12111018,6,5,5,9,6,5,6,0,0,0,1,1,1,4,4
-0.440432224,-0.051646458,-0.643021258,-0.165576353,-0.812391787,0.918762181,-0.853061953,-0.368437668,0.904577062,-0.556150173,7,5,3,7,7,10,10,0,0,1,1,1,0,4,5
